ManufacturerName,Distribution Name,SKU Code,SKU Manufacturer Code,SKU Description,Units In Carton,AWS in Units,AWS Adjusted,MSL in Units,Available Total Units,Total buying Amount,Live Cartons,Live Units,Live Total Units,Live Total buying Amount,SKUDescription,AWSQty,BusinessUnitName,LTDS_Amount,BrandName,Sale,Ctn,SCD,LastOrderDateSKU,LastOrderDateManu,OOS,SKU Category,totalsku,lastpurday,type,OdrDat,OdrQty,OdrValue,AWSActiveAmt,AWSActive,AWSAtvPcs,TopSKU,AllowSec,AllowPri,MasterSKUDescription,MTD,MasterSKUCode,tags,Shown in App,TGT,TGTskulevel,MRP,top15,SubCategoryName,desc,SubCatNew
Mondelez International,Jugnu Fulfillment Centre - Islamabad,SKU10796,7622201823450,Cadbury Dairy Milk 45g 1x24 (Rs. 100),12,0,0,0,0,0,0,0,0,0,Cadbury Dairy Milk 45g 1x24 (Rs. 100),0,Confectionary,1,Cadbury Dairy Milk,0,0,0,137,34,122,Confectionary,1,137,,,,,164431,6,75,Core,,,Cadbury Dairy Milk 56g 1x24,,MSKU03819,,No,0,,SKU10796 MRP-[2421],Top15-SubCat,Chocolates,Cadbury Dairy Milk 45g 1x24 (Rs. 100),OOS SKU
Imported Products,Jugnu Fulfillment Centre - Islamabad,SKU06587,1330598,ENCHANTEUR 100ML GORGEOUS LOTION,48,17,7,0,0,0,0,0,0,0,ENCHANTEUR 100ML GORGEOUS LOTION,0,Home & Personal Care,1,Enchanteur,0,0,0,224,223,18,Personal Care,1,224,Alpha,,,,3199,0,12,,,No,ENCHANTEUR 100ML GORGEOUS LOTION,1868,MSKU05736,,No,0,0,SKU06587 MRP-[370],,Creams/Lotions,ENCHANTEUR 100ML GORGEOUS LOTION,OOS SKU
Molfix,Jugnu Fulfillment Centre - Islamabad,SKU04809,5043953,Papia 2 Ply Facial Tissue 550s,18,0,0,0,0,0,0,0,0,0,Papia 2 Ply Facial Tissue 550s,0,Home & Personal Care,1,Papia,0,0,0,223,129,173,Personal Care,1,223,Alpha,,,,27613,5,82,,,,PAPIA 2PLY 550  PE FACIAL TISSUE 550*18,,MSKU04149,ST001-Core,No,0,,SKU04809 MRP-[445],,Tissues/Masks,Papia 2 Ply Facial Tissue 550s,OOS SKU
Johnson & Johnson,Jugnu Fulfillment Centre - Islamabad,SKU14238,4433,Johnsons Baby Bed/Sleep time Powder 200 gm (MRP 450),48,0,14,0,48,16161.46,1,0,48,16161.46,Johnsons Baby Bed/Sleep time Powder 200 gm (MRP 450),0,Home & Personal Care,1,Johnsons Baby Powder and Lotions,0,1,113130,46,32,,Baby Care,1,46,Alpha,,,,6945,0,21,,,No,Baby Bed/Sleep time Powder 200gm,,MSKU04571,,Yes,0,0,SKU14238 MRP-[450],,"Baby Powders,Lotions,Creams",Johnsons Baby Bed/Sleep time Powder 200 gm (MRP 450),Johnsons Baby Powder and Lotions
Sufi Soaps,Jugnu Fulfillment Centre - Islamabad,SKU15013,MSKU10492,Sufi Classic Soap Pink 130 gm,48,44,301,0,12,1036.49,0,0,0,0,Sufi Classic Soap Pink 130 gm,0,Home & Personal Care,1,Sufi Soap,1036.49,0,0,,,,Personal Care,1,,Alpha,,,,,,,,,,Sufi Classic Soap Pink 130 gm,,MSKU10492,,No,0,,SKU15013 MRP-[100],,Soaps/Facewash,Sufi Classic Soap Pink 130 gm,OOS SKU
Johnson & Johnson,Jugnu Fulfillment Centre - Islamabad,SKU05247,4426,Johnsons Baby Powder Classic 200 gm,48,0,21,0,0,0,0,0,0,0,Johnsons Baby Powder Classic 200 gm,0,Home & Personal Care,1,Johnsons Baby Powder and Lotions,0,0,0,119,32,75,Baby Care,1,119,Alpha,,,,14071,1,40,,No,,Baby Powder Classic200gm,,MSKU04578,ST001-Core,No,0,0,SKU05247 MRP-[450],Top15-SubCat,"Baby Powders,Lotions,Creams",Johnsons Baby Powder Classic 200 gm,OOS SKU
Imported Products,Jugnu Fulfillment Centre - Islamabad,SKU06605,1330089,VASELINE 100ML UV Extra Brightening,36,0,0,0,0,0,0,0,0,0,VASELINE 100ML UV Extra Brightening,0,Home & Personal Care,1,Vaseline Petroleum Jelly.,0,0,0,224,223,215,Personal Care,1,224,Alpha,,,,8552,1,36,,,,VASELINE 100ML UV LIGHTENING HEALTHY WHI,,MSKU05765,,No,0,,SKU06605 MRP-[325],,Creams/Lotions,VASELINE 100ML UV Extra Brightening,OOS SKU
Johnson & Johnson,Jugnu Fulfillment Centre - Islamabad,SKU05276,4655,Listerine Mouthwash Advance Tarter Control 250 ml,12,0,0,0,0,0,0,0,0,0,Listerine Mouthwash Advance Tarter Control 250 ml,0,Home & Personal Care,1,Listerine,0,0,0,245,32,180,Personal Care,1,245,Alpha,,,,6502,2,20,,,,LIST M/W ATC 250 AR/EN,,MSKU04607,,No,0,,SKU05276 MRP-[479],,Toothpaste/Brush,Listerine Mouthwash Advance Tarter Control 250 ml,OOS SKU
Johnson & Johnson,Jugnu Fulfillment Centre - Islamabad,SKU05280,4646,Listerine Teeth and Gum 250 ml,12,6,14,0,0,0,0,0,0,0,Listerine Teeth and Gum 250 ml,0,Home & Personal Care,1,Listerine,0,0,0,84,32,33,Personal Care,1,84,Alpha,,,,6113,1,14,,,No,LIST TEETH &GUM 250ML,,MSKU04611,,No,0,0,SKU05280 MRP-[479],,Toothpaste/Brush,Listerine Teeth and Gum 250 ml,OOS SKU
Grain Trader Commodities,Jugnu Fulfillment Centre - Islamabad,SKU11396,MSKU09022,Rice Kainaat Steam Awami 25Kg,1,0,0,0,0,0,0,0,0,0,Rice Kainaat Steam Awami 25Kg,0,Commodities,1,GT Rice,0,0,0,133,97,101,Chaawal,1,133,Charlie,,,,144064,19,19,,No,No,Rice Kainaat Steam Awami 25Kg,,MSKU09022,,No,0,,SKU11396 MRP-[7813],,Chaawal,Rice Kainaat Steam Awami 25Kg,OOS SKU
